identifier,RWS,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
open3r-trans-eng-gmca-gmcat0000001,hwrc-eng-gmca-gb3907hj,hwrc-trans-01,1,Mo-Sa 08:00-20:00; Su 10:00-16:00; PH 10:00-16:00,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000002,hwrc-eng-gmca-gb3907hj,hwrc-trans-02,1,Mo-Sa 07:00-17:00; Su 10:00-16:00; PH 10:00-16:00,0,0,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000003,hwrc-eng-gmca-gb3907hj,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000004,hwrc-eng-gmca-gb3907hj,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000005,hwrc-eng-gmca-gb3907hj,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000006,hwrc-eng-gmca-gb3907th,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000007,hwrc-eng-gmca-gb3907th,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000008,hwrc-eng-gmca-gb3907th,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000009,hwrc-eng-gmca-gb3907th,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000010,hwrc-eng-gmca-gb3907th,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000011,hwrc-eng-gmca-gb3907kb,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000012,hwrc-eng-gmca-gb3907kb,hwrc-trans-02,1,Mo-Fr 07:30-17:00; Sa 08:00-13:00; Su off; PH 10:00-17:00,0,0,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000013,hwrc-eng-gmca-gb3907kb,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000014,hwrc-eng-gmca-gb3907kb,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000015,hwrc-eng-gmca-gb3907kb,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000016,hwrc-eng-gmca-gb3907uf,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000017,hwrc-eng-gmca-gb3907uf,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000018,hwrc-eng-gmca-gb3907uf,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000019,hwrc-eng-gmca-gb3907uf,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000020,hwrc-eng-gmca-gb3907uf,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000021,hwrc-eng-gmca-hb3001hw,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000022,hwrc-eng-gmca-hb3001hw,hwrc-trans-02,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000023,hwrc-eng-gmca-hb3001hw,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000024,hwrc-eng-gmca-hb3001hw,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000025,hwrc-eng-gmca-hb3001hw,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000026,hwrc-eng-gmca-gb3907xn,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000027,hwrc-eng-gmca-gb3907xn,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000028,hwrc-eng-gmca-gb3907xn,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000029,hwrc-eng-gmca-gb3907xn,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000030,hwrc-eng-gmca-gb3907xn,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000031,hwrc-eng-gmca-hb3001gv,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000032,hwrc-eng-gmca-hb3001gv,hwrc-trans-02,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000033,hwrc-eng-gmca-hb3001gv,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000034,hwrc-eng-gmca-hb3001gv,hwrc-trans-04,,,,,,,,,,,11/10/2021
open3r-trans-eng-gmca-gmcat0000035,hwrc-eng-gmca-hb3001gv,hwrc-trans-05,0,,,,,,,,,,24/09/2021
open3r-trans-eng-gmca-gmcat0000036,hwrc-eng-gmca-gb3907ls,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
