identifier,govIdentifier,RWStype,URL,name,description,siteAddressName,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,openingHoursNotes,openingHoursTransportRestrictions,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,proofOfResidency,accessibilityNotes,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo
open3r-tb-eng-gmca-coop0001,,tb,https://www.coop.co.uk/store-finder/M21-7QH/349-barlow-moor-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-349-Barlow-Moor-Road-Manchester,349 Barlow Moor Road,,Co-op Food,349 Barlow Moor Road,Manchester,Greater Manchester,eng,M21 7QH,53.432288,-2.270082,+44 161 8812115,06:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-sry-coop0002,,tb,https://www.coop.co.uk/store-finder/CR0-6PQ/61-lower-addiscombe-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-61-Lower-Addiscombe-Road-Croydon,61 Lower Addiscombe Road,,Co-op Food,61 Lower Addiscombe Road,Croydon,Surrey,eng,CR0 6PQ,51.380507,-0.086528,+44 20 86544068,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-yor-coop0003,,tb,https://www.coop.co.uk/store-finder/YO26-4LT/york-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Acomb-York,Acomb,,Co-op Food,York Road,York,York,eng,YO26 4LT,53.956666,-1.120035,+44 1904 794312,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-brd-coop0004,,tb,https://www.coop.co.uk/store-finder/LS29-0LY/162-main-street?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Addingham-Ilkley,Addingham,,Co-op Food,162 Main Street,Ilkley,Bradford,eng,LS29 0LY,53.943715,-1.878662,+44 1943 839461,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-lds-coop0005,,tb,https://www.coop.co.uk/store-finder/LS16-6AJ/425-otley-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Adel-Leeds,Adel,,Co-op Food,425 Otley Road,Leeds,Leeds,eng,LS16 6AJ,53.851894,-1.592538,+44 113 2614964,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-cma-coop0006,,tb,https://www.coop.co.uk/store-finder/LA14-5BJ/38-ainslie-street?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Ainslie-Street-Barrow-In-Furness,Ainslie Street,,Co-op Food,38 Ainslie Street,Barrow In Furness,Cumbria,eng,LA14 5BJ,54.121105,-3.223703,+44 1229 831339,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-esx-coop0007,,tb,https://www.coop.co.uk/store-finder/BN21-1SD/1-3-albert-parade?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Albert-Parade-Eastbourne,Albert Parade,,Co-op Food,1-3 Albert Parade,Eastbourne,East Sussex,eng,BN21 1SD,50.778044,0.256235,+44 1323 723251,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-dev-coop0008,,tb,https://www.coop.co.uk/store-finder/PL2-1AQ/154-158-albert-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Albert-Road-Devonport-Plymouth,Albert Road - Devonport,,Co-op Food,154-158 Albert Road,Plymouth,Devon,eng,PL2 1AQ,50.378962,-4.174447,+44 1752 500989,06:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-som-coop0009,,tb,https://www.coop.co.uk/store-finder/TA24-6BB/57-alcombe-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Alcombe-Road-Minehead,Alcombe Road,,Co-op Food,57 Alcombe Road,Minehead,Somerset,eng,TA24 6BB,51.197639,-3.468251,+44 1643 703132,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-lds-coop0010,,tb,https://www.coop.co.uk/store-finder/LS17-7HW/nursery-lane?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Alwoodley-Leeds,Alwoodley,,Co-op Food,Nursery Lane,Leeds,Leeds,eng,LS17 7HW,53.85238,-1.544627,+44 113 2662814,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-wil-coop0011,,tb,https://www.coop.co.uk/store-finder/SP4-7AW/23-salisbury-street?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Amesbury-Salisbury-Street-Salisbury,Amesbury - Salisbury Street,,Co-op Food,23 Salisbury Street,Salisbury,Wiltshire,eng,SP4 7AW,51.172022,-1.780241,+44 1980 677231,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gmca-coop0012,,tb,https://www.coop.co.uk/store-finder/M4-6AJ/45-49-blossom-street?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Ancoats-Blossom-Street-Manchester,Ancoats - Blossom Street,,Co-op Food,45-49 Blossom Street,Manchester,Greater Manchester,eng,M4 6AJ,53.484997,-2.227835,+44 161 2358435,07:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-wbk-coop0013,,tb,https://www.coop.co.uk/store-finder/RG2-9PL/27-bramshill-close,Arborfield - Bramshill Close,,Co-op Food,27 Bramshill Close,Reading,West Berkshire,eng,RG2 9PL,51.387736,-0.90353,+44 118 9762820,Mo-Sa 07:00-23:00; Su 08:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-wil-coop0014,,tb,https://www.coop.co.uk/store-finder/SP4-7XP/archers-way?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Archers-Gate-Amesbury-Salisbury,Archers Gate - Amesbury,,Co-op Food,Archers Way,Salisbury,Wiltshire,eng,SP4 7XP,51.164213,-1.763773,+44 1980 624165,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gla-coop0015,,tb,https://www.coop.co.uk/store-finder/N19-5QT/11-19-junction-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Archway-London,Archway,,Co-op Food,11-19 Junction Road,London,Greater London,eng,N19 5QT,51.564979,-0.134572,+44 20 72722636,Mo-Sa 06:00-23:00; Su 12:00-18:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-ngm-coop0016,,tb,https://www.coop.co.uk/store-finder/NG5-5HB/244-arnold-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Arnold-Road-Nottingham,Arnold Road,,Co-op Food,244 Arnold Road,Nottingham,Nottinghamshire,eng,NG5 5HB,52.991436,-1.167706,+44 115 9606023,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-ham-coop0017,,tb,https://www.coop.co.uk/store-finder/GU12-6LG/69-ash-street?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Ash-Aldershot-Aldershot,Ash - Aldershot,,Co-op Food,69 Ash Street,Aldershot,Hampshire,eng,GU12 6LG,51.246334,-0.724293,+44 1252 333881,07:00-23:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-nbl-coop0018,,tb,https://www.coop.co.uk/store-finder/NE63-8UJ/remscheid-way?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Ashington-Remscheid-Way-Ashington,Ashington - Remscheid Way,,Co-op Food,Remscheid Way,Ashington,Northumberland,eng,NE63 8UJ,55.172824,-1.572198,+44 1670 850428,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gmca-coop0019,,tb,https://www.coop.co.uk/store-finder/M33-5PP/12-16-green-lane?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Ashton-On-Mersey-Sale,Ashton On Mersey,,Co-op Food,12-16 Green Lane,Sale,Greater Manchester,eng,M33 5PP,53.429445,-2.341558,+44 161 9737838,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-gla-coop0020,,tb,https://www.coop.co.uk/store-finder/W12-9BL/98-askew-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Askew-Road-London,Askew Road,,Co-op Food,98 Askew Road,London,Greater London,eng,W12 9BL,51.503401,-0.243407,+44 20 87434078,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
open3r-tb-eng-lan-coop0021,,tb,https://www.coop.co.uk/store-finder/WN2-1XH/134-haigh-road?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-Aspull-Haigh-Road-Wigan,Aspull - Haigh Road,,Co-op Food,134 Haigh Road,Wigan,Lancashire,eng,WN2 1XH,53.569634,-2.586097,+44 1942 833434,07:00-22:00,,,,The Co-operative Group,,,The Co-operative Group,,,,,,,,,,,,,,,,
