identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-gmca-gb3907hj,hwrc-trans-01,1,Mo-Sa 08:00-20:00; Su 10:00-16:00; PH 10:00-16:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907hj,hwrc-trans-02,1,Mo-Sa 07:00-17:00; Su 10:00-16:00; PH 10:00-16:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907hj,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3907hj,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907hj,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907th,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907th,hwrc-trans-02,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907th,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3907th,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907th,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907kb,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907kb,hwrc-trans-02,1,Mo-Fr 07:30-17:00; Sa 08:00-13:00; Su off; PH 10:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907kb,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3907kb,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907kb,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907uf,hwrc-trans-01,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907uf,hwrc-trans-02,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907uf,hwrc-trans-03,,,,,,,1.8 m,,,,11/10/2021
,hwrc-eng-gmca-gb3907uf,hwrc-trans-04,,,,,,,,,,,11/10/2021
,hwrc-eng-gmca-gb3907uf,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-hb3001hw,hwrc-trans-01,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
