identifier,govIdentifier,URL,name,description,siteAddressName,siteAddressStreet,siteAddressCity,siteAddressCounty,siteAddressCountry,siteAddressPostcode,latitude,longitude,telephone,openingHours,openingHoursNotes,openingHoursTransportRestrictions,ownerID,ownerName,operatorID,operatorCompanyID,operatorName,operatorAddressStreet,operatorAddressCity,operatorAddressCounty,operatorAddressCountry,operatorAddressPostcode,dateOpened,dateClosed,areaServed,proofOfResidency,accessibilityNotes,trade,ANPR,reuseShop,dateUpdated,dateValidFrom,dateValidTo
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426217/274698/maximized,Newlands North Car Park recycling bank (Sherborne),,Car Park,Newland,Sherborne,Dorset,eng,DT9 3JQ,50.950380,-2.516140,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426232/274698/maximized,Marsh and Ham Car Park recycling bank (Blandford),,Car Park,Marsh and Ham Car Park,Blandford,Dorset,eng,DT11 7AW,50.854191,-2.166227,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426241/274698/maximized,Park Road Car Park recycling bank (Portland),,Tesco Car Park,Park Rd,Portland,Dorset,eng,DT5 2AD,50.543283,-2.434883,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426254/274698/maximized,Turberville Court Car Park recycling bank (Bere Regis),,Car Park,"Turberville Rd, Bere Regis",Wareham,Dorset,eng,BH20 7LZ,50.752693,-2.218671,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426267/274698/maximized,County Hall Car Park recycling bank (Dorchester),,Car Park,Colliton Walk,Dorchester,Dorset,eng,DT1 1XJ,50.715776,-2.440282,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426382/274698/maximized,Lower Sea Lane Car Park recycling bank (Charmouth),,Car Park,St Andrews Dr,Charmouth,Dorset,eng,DT6 6LS,50.737250,-2.901301,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426393/274698/maximized,Church Farm Car Park recycling bank (Sixpenny Handley),,St Mary's Car Park,High St,Sixpenny Handley,Dorset,eng,SP5 5ND,50.955223,-2.007039,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426493/274698/maximized,Culverhayes Car Park recycling bank (Sherborne),,Car Park,Ludbourne Rd,Sherborne,Dorset,eng,DT9 3NJ,50.945964,-2.512890,,24/7,,0,,,,,,,,,,,,,,0,,,,,5/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426502/274698/maximized,Littlemoor Car Park recycling bank,,Littlemoor Shopping Centre,Littlemoor Road,Weymouth,Dorset,eng,DT3 6HP,50.648336,-2.453535,,24/7,,0,,,,,,,,,,,,,,0,,,,,10/11/2021,,
,,https://www.dorsetcouncil.gov.uk/bins-recycling-and-litter/recycling-centres-and-banks/find-a-recycling-centre-or-recycling-bank/-/ddl_display/ddl/426517/274698/maximized,Overcombe Corner Car Park recycling bank (Weymouth),,Car Park,Heron Cl,Weymouth,Dorset,eng,DT3 6SX,50.634232,-2.432418,,24/7,,0,,,,,,,,,,,,,,0,,,,,10/11/2021,,
