Id,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-gmca-gb3907hj,small vehicle,1,Mo-Sa 08:00-20:00; Su 10:00-16:00; PH 10:00-16:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907hj,large vehicle,1,Mo-Sa 07:00-17:00; Su 10:00-16:00; PH 10:00-16:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907hj,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907hj,pedestrian,0,,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907th,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907th,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907th,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907th,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907kb,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907kb,large vehicle,1,Mo-Fr 07:30-17:00; Sa 08:00-13:00; Su off; PH 10:00-17:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907kb,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907kb,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907uf,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907uf,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907uf,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907uf,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-hb3001hw,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-hb3001hw,large vehicle,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-hb3001hw,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-hb3001hw,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907xn,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907xn,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907xn,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-gb3907xn,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-hb3001gv,small vehicle,1,,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-hb3001gv,large vehicle,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-hb3001gv,trailer,,,,,,,,,,,4/10/2021
,hwrc-eng-gmca-hb3001gv,pedestrian,0,,,,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ls,small vehicle,1,Mo-Su 08:00-20:00,0,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ls,large vehicle,1,Mo-Fr 07:00-18:00; Sa-Su 07:00-17:00; PH 07:00-18:00,0,0,,,,,,,24/09/2021
,hwrc-eng-gmca-gb3907ls,trailer,,,,,,,,,,,4/10/2021
